power,mu1,mu2,sd1,sd2,n1,n2,n_sim,datetime
0.0518,0,0,3,3,10,20,10000,2024-09-04T22:11:31Z
0.0467,0,0,3,3,10,30,10000,2024-09-04T22:12:21Z
0.0493,0,0,3,3,10,40,10000,2024-09-04T22:13:08Z
0.0495,0,0,3,3,10,50,10000,2024-09-04T22:14:08Z
0.0427,0,0,3,3,20,10,10000,2024-09-04T22:10:54Z
0.045,0,0,3,3,20,20,10000,2024-09-04T22:11:40Z
0.047,0,0,3,3,20,30,10000,2024-09-04T22:12:30Z
0.051,0,0,3,3,20,40,10000,2024-09-04T22:13:23Z
0.0518,0,0,3,3,20,50,10000,2024-09-04T22:14:17Z
0.0542,0,0,3,3,30,10,10000,2024-09-04T22:11:01Z
0.0517,0,0,3,3,30,20,10000,2024-09-04T22:11:49Z
0.0495,0,0,3,3,30,30,10000,2024-09-04T22:12:42Z
0.0494,0,0,3,3,30,40,10000,2024-09-04T22:13:33Z
0.0492,0,0,3,3,30,50,10000,2024-09-04T22:14:27Z
0.0528,0,0,3,3,40,10,10000,2024-09-04T22:11:09Z
0.0493,0,0,3,3,40,20,10000,2024-09-04T22:12:02Z
0.0524,0,0,3,3,40,30,10000,2024-09-04T22:12:51Z
0.051,0,0,3,3,40,40,10000,2024-09-04T22:13:42Z
0.0487,0,0,3,3,40,50,10000,2024-09-04T22:14:36Z
0.0508,0,0,3,3,50,10,10000,2024-09-04T22:11:22Z
0.0481,0,0,3,3,50,20,10000,2024-09-04T22:12:11Z
0.0482,0,0,3,3,50,30,10000,2024-09-04T22:12:59Z
0.0488,0,0,3,3,50,40,10000,2024-09-04T22:13:54Z
0.0491,0,0,3,3,50,50,10000,2024-09-04T22:14:49Z
0.5571,0,1,1,1,10,10,10000,2024-09-04T22:10:38Z
0.6834,0,1,1,1,10,20,10000,2024-09-04T22:11:22Z
0.73,0,1,1,1,10,30,10000,2024-09-04T22:12:11Z
0.7432,0,1,1,1,10,40,10000,2024-09-04T22:13:00Z
0.7557,0,1,1,1,10,50,10000,2024-09-04T22:13:58Z
0.6877,0,1,1,1,20,10,10000,2024-09-04T22:10:45Z
0.8671,0,1,1,1,20,20,10000,2024-09-04T22:11:31Z
0.9207,0,1,1,1,20,30,10000,2024-09-04T22:12:21Z
0.9471,0,1,1,1,20,40,10000,2024-09-04T22:13:13Z
0.9574,0,1,1,1,20,50,10000,2024-09-04T22:14:08Z
0.7339,0,1,1,1,30,10,10000,2024-09-04T22:10:54Z
0.9264,0,1,1,1,30,20,10000,2024-09-04T22:11:40Z
0.9683,0,1,1,1,30,30,10000,2024-09-04T22:12:34Z
0.984,0,1,1,1,30,40,10000,2024-09-04T22:13:23Z
0.9901,0,1,1,1,30,50,10000,2024-09-04T22:14:17Z
0.7472,0,1,1,1,40,10,10000,2024-09-04T22:11:01Z
0.9406,0,1,1,1,40,20,10000,2024-09-04T22:11:53Z
0.9835,0,1,1,1,40,30,10000,2024-09-04T22:12:42Z
0.991,0,1,1,1,40,40,10000,2024-09-04T22:13:33Z
0.9976,0,1,1,1,40,50,10000,2024-09-04T22:14:28Z
0.7641,0,1,1,1,50,10,10000,2024-09-04T22:11:13Z
0.9524,0,1,1,1,50,20,10000,2024-09-04T22:12:02Z
0.9896,0,1,1,1,50,30,10000,2024-09-04T22:12:51Z
0.996,0,1,1,1,50,40,10000,2024-09-04T22:13:43Z
0.9985,0,1,1,1,50,50,10000,2024-09-04T22:14:40Z
0.2586,0,1,1,2,10,10,10000,2024-09-04T22:10:38Z
0.4202,0,1,1,2,10,20,10000,2024-09-04T22:11:27Z
0.5188,0,1,1,2,10,30,10000,2024-09-04T22:12:16Z
0.5839,0,1,1,2,10,40,10000,2024-09-04T22:13:04Z
0.6165,0,1,1,2,10,50,10000,2024-09-04T22:13:59Z
0.2777,0,1,1,2,20,10,10000,2024-09-04T22:10:49Z
0.492,0,1,1,2,20,20,10000,2024-09-04T22:11:36Z
0.6177,0,1,1,2,20,30,10000,2024-09-04T22:12:25Z
0.7112,0,1,1,2,20,40,10000,2024-09-04T22:13:14Z
0.773,0,1,1,2,20,50,10000,2024-09-04T22:14:13Z
0.2929,0,1,1,2,30,10,10000,2024-09-04T22:10:58Z
0.5139,0,1,1,2,30,20,10000,2024-09-04T22:11:44Z
0.6665,0,1,1,2,30,30,10000,2024-09-04T22:12:35Z
0.7707,0,1,1,2,30,40,10000,2024-09-04T22:13:28Z
0.8366,0,1,1,2,30,50,10000,2024-09-04T22:14:22Z
0.289,0,1,1,2,40,10,10000,2024-09-04T22:11:05Z
0.5257,0,1,1,2,40,20,10000,2024-09-04T22:11:53Z
0.6862,0,1,1,2,40,30,10000,2024-09-04T22:12:46Z
0.7944,0,1,1,2,40,40,10000,2024-09-04T22:13:37Z
0.8655,0,1,1,2,40,50,10000,2024-09-04T22:14:31Z
0.2964,0,1,1,2,50,10,10000,2024-09-04T22:11:14Z
0.5303,0,1,1,2,50,20,10000,2024-09-04T22:12:06Z
0.7016,0,1,1,2,50,30,10000,2024-09-04T22:12:55Z
0.8025,0,1,1,2,50,40,10000,2024-09-04T22:13:48Z
0.8733,0,1,1,2,50,50,10000,2024-09-04T22:14:42Z
0.1505,0,1,1,3,10,10,10000,2024-09-04T22:10:42Z
0.2542,0,1,1,3,10,20,10000,2024-09-04T22:11:27Z
0.3351,0,1,1,3,10,30,10000,2024-09-04T22:12:21Z
0.4008,0,1,1,3,10,40,10000,2024-09-04T22:13:08Z
0.447,0,1,1,3,10,50,10000,2024-09-04T22:14:03Z
0.1574,0,1,1,3,20,10,10000,2024-09-04T22:10:49Z
0.2724,0,1,1,3,20,20,10000,2024-09-04T22:11:40Z
0.3816,0,1,1,3,20,30,10000,2024-09-04T22:12:30Z
0.4629,0,1,1,3,20,40,10000,2024-09-04T22:13:18Z
0.5424,0,1,1,3,20,50,10000,2024-09-04T22:14:14Z
0.1556,0,1,1,3,30,10,10000,2024-09-04T22:11:01Z
0.279,0,1,1,3,30,20,10000,2024-09-04T22:11:49Z
0.3902,0,1,1,3,30,30,10000,2024-09-04T22:12:39Z
0.4844,0,1,1,3,30,40,10000,2024-09-04T22:13:29Z
0.5681,0,1,1,3,30,50,10000,2024-09-04T22:14:27Z
0.1522,0,1,1,3,40,10,10000,2024-09-04T22:11:09Z
0.2874,0,1,1,3,40,20,10000,2024-09-04T22:11:57Z
0.4051,0,1,1,3,40,30,10000,2024-09-04T22:12:47Z
0.5029,0,1,1,3,40,40,10000,2024-09-04T22:13:42Z
0.5906,0,1,1,3,40,50,10000,2024-09-04T22:14:36Z
0.1546,0,1,1,3,50,10,10000,2024-09-04T22:11:18Z
0.2781,0,1,1,3,50,20,10000,2024-09-04T22:12:07Z
0.4106,0,1,1,3,50,30,10000,2024-09-04T22:12:59Z
0.514,0,1,1,3,50,40,10000,2024-09-04T22:13:53Z
0.5946,0,1,1,3,50,50,10000,2024-09-04T22:14:45Z
0.2541,0,1,2,1,10,10,10000,2024-09-04T22:10:38Z
0.2711,0,1,2,1,10,20,10000,2024-09-04T22:11:22Z
0.2861,0,1,2,1,10,30,10000,2024-09-04T22:12:11Z
0.2806,0,1,2,1,10,40,10000,2024-09-04T22:13:03Z
0.2907,0,1,2,1,10,50,10000,2024-09-04T22:13:58Z
0.4225,0,1,2,1,20,10,10000,2024-09-04T22:10:45Z
0.4837,0,1,2,1,20,20,10000,2024-09-04T22:11:31Z
0.5168,0,1,2,1,20,30,10000,2024-09-04T22:12:25Z
0.523,0,1,2,1,20,40,10000,2024-09-04T22:13:13Z
0.5356,0,1,2,1,20,50,10000,2024-09-04T22:14:08Z
0.5106,0,1,2,1,30,10,10000,2024-09-04T22:10:54Z
0.6337,0,1,2,1,30,20,10000,2024-09-04T22:11:44Z
0.661,0,1,2,1,30,30,10000,2024-09-04T22:12:34Z
0.6952,0,1,2,1,30,40,10000,2024-09-04T22:13:23Z
0.702,0,1,2,1,30,50,10000,2024-09-04T22:14:19Z
0.5754,0,1,2,1,40,10,10000,2024-09-04T22:11:05Z
0.7175,0,1,2,1,40,20,10000,2024-09-04T22:11:53Z
0.763,0,1,2,1,40,30,10000,2024-09-04T22:12:42Z
0.7982,0,1,2,1,40,40,10000,2024-09-04T22:13:33Z
0.81,0,1,2,1,40,50,10000,2024-09-04T22:14:31Z
0.6135,0,1,2,1,50,10,10000,2024-09-04T22:11:13Z
0.7731,0,1,2,1,50,20,10000,2024-09-04T22:12:02Z
0.8386,0,1,2,1,50,30,10000,2024-09-04T22:12:51Z
0.8636,0,1,2,1,50,40,10000,2024-09-04T22:13:47Z
0.8806,0,1,2,1,50,50,10000,2024-09-04T22:14:40Z
0.1801,0,1,2,2,10,10,10000,2024-09-04T22:10:42Z
0.2328,0,1,2,2,10,20,10000,2024-09-04T22:11:27Z
0.2521,0,1,2,2,10,30,10000,2024-09-04T22:12:16Z
0.2618,0,1,2,2,10,40,10000,2024-09-04T22:13:04Z
0.2713,0,1,2,2,10,50,10000,2024-09-04T22:14:03Z
0.2319,0,1,2,2,20,10,10000,2024-09-04T22:10:49Z
0.3399,0,1,2,2,20,20,10000,2024-09-04T22:11:36Z
0.3909,0,1,2,2,20,30,10000,2024-09-04T22:12:25Z
0.4255,0,1,2,2,20,40,10000,2024-09-04T22:13:18Z
0.4483,0,1,2,2,20,50,10000,2024-09-04T22:14:13Z
0.2497,0,1,2,2,30,10,10000,2024-09-04T22:10:57Z
0.397,0,1,2,2,30,20,10000,2024-09-04T22:11:44Z
0.4761,0,1,2,2,30,30,10000,2024-09-04T22:12:38Z
0.5359,0,1,2,2,30,40,10000,2024-09-04T22:13:28Z
0.5601,0,1,2,2,30,50,10000,2024-09-04T22:14:22Z
0.269,0,1,2,2,40,10,10000,2024-09-04T22:11:05Z
0.4275,0,1,2,2,40,20,10000,2024-09-04T22:11:57Z
0.5361,0,1,2,2,40,30,10000,2024-09-04T22:12:47Z
0.6037,0,1,2,2,40,40,10000,2024-09-04T22:13:37Z
0.6457,0,1,2,2,40,50,10000,2024-09-04T22:14:32Z
0.2657,0,1,2,2,50,10,10000,2024-09-04T22:11:18Z
0.4494,0,1,2,2,50,20,10000,2024-09-04T22:12:07Z
0.569,0,1,2,2,50,30,10000,2024-09-04T22:12:55Z
0.649,0,1,2,2,50,40,10000,2024-09-04T22:13:48Z
0.7011,0,1,2,2,50,50,10000,2024-09-04T22:14:45Z
0.1304,0,1,2,3,10,10,10000,2024-09-04T22:10:42Z
0.1792,0,1,2,3,10,20,10000,2024-09-04T22:11:31Z
0.213,0,1,2,3,10,30,10000,2024-09-04T22:12:21Z
0.2404,0,1,2,3,10,40,10000,2024-09-04T22:13:08Z
0.2343,0,1,2,3,10,50,10000,2024-09-04T22:14:04Z
0.1395,0,1,2,3,20,10,10000,2024-09-04T22:10:54Z
0.2245,0,1,2,3,20,20,10000,2024-09-04T22:11:40Z
0.2823,0,1,2,3,20,30,10000,2024-09-04T22:12:30Z
0.3303,0,1,2,3,20,40,10000,2024-09-04T22:13:19Z
0.3603,0,1,2,3,20,50,10000,2024-09-04T22:14:17Z
0.1521,0,1,2,3,30,10,10000,2024-09-04T22:11:01Z
0.2352,0,1,2,3,30,20,10000,2024-09-04T22:11:49Z
0.3142,0,1,2,3,30,30,10000,2024-09-04T22:12:39Z
0.3776,0,1,2,3,30,40,10000,2024-09-04T22:13:33Z
0.419,0,1,2,3,30,50,10000,2024-09-04T22:14:27Z
0.1524,0,1,2,3,40,10,10000,2024-09-04T22:11:09Z
0.2615,0,1,2,3,40,20,10000,2024-09-04T22:11:57Z
0.3359,0,1,2,3,40,30,10000,2024-09-04T22:12:51Z
0.4163,0,1,2,3,40,40,10000,2024-09-04T22:13:42Z
0.4648,0,1,2,3,40,50,10000,2024-09-04T22:14:36Z
